	CONCEPT_NAME	OMOP_CONCEPT_ID	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL	PERCENTAGE_TOTAL	COUNT_INDVS_NO_MISSING	COUNT_INDVS_MISSING	COUNT_INDVS_ALL
0	Erythrocyte distribution width [Ratio]	3002385	38115912	4.97747%	1195852	0.15616369%	39311764	5.13363692%	2600031	142704	2617834
1	Hematocrit [Volume Fraction] of Blood	3009542	32893386	4.29548%	284298	0.03712585%	33177684	4.33260088%	4046380	158692	4053212
2	Hemoglobin [Mass/volume] in Blood	3000963	32678453	4.26741%	276484	0.03610544%	32954937	4.30351284%	4046503	156617	4053017
3	MCV [Entitic volume]	3024731	32442569	4.23660%	378165	0.04938374%	32820734	4.28598757%	4048098	161563	4055119
4	MCH [Entitic mass]	3035941	32391249	4.22990%	378049	0.04936859%	32769298	4.27927065%	4046122	162073	4053170
5	Erythrocytes [#/volume] in Blood	3026361	32233249	4.20927%	568138	0.07419189%	32801387	4.28346108%	4029883	305685	4046808
6	Leukocytes [#/volume] in Blood	3010813	31725206	4.14292%	566703	0.07400450%	32291909	4.21692947%	4002724	283981	4015837
7	Platelets [#/volume] in Blood	3007461	31626024	4.12997%	347279	0.04535040%	31973303	4.17532341%	3985152	161378	3991720
8	Creatinine [Moles/volume] in Serum or Plasma	3020564	24931268	3.25572%	299927	0.03916681%	25231195	3.29488634%	3355042	153854	3361997
9	MCHC [Mass/volume]	3003338	23493060	3.06791%	302481	0.03950033%	23795541	3.10740744%	3135282	108797	3142645
10	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)	40764999	22255102	2.90624%	980869	0.12808953%	23235971	3.03433442%	2134098	194376	2255051
11	Potassium [Moles/volume] in Serum or Plasma	3023103	21481229	2.80519%	648685	0.08471035%	22129914	2.88989686%	2968584	287383	2993874
12	Sodium [Moles/volume] in Serum or Plasma	3019550	21465107	2.80308%	255238	0.03333097%	21720345	2.83641215%	2961871	129478	2969694
13	C reactive protein [Mass/volume] in Serum or Plasma	3020460	15523240	2.02715%	5200347	0.67910189%	20723587	2.70624771%	2401456	1852445	3148623
14	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma	3006923	13559680	1.77073%	251335	0.03282129%	13811015	1.80355011%	3076030	131493	3094948
15	Neutrophils [#/volume] in Blood	3017732	11505342	1.50246%	312388	0.04079406%	11817730	1.54325140%	1151140	71522	1163818
16	Basophils [#/volume] in Blood	3006315	9461564	1.23556%	236502	0.03088428%	9698066	1.26644914%	1011523	52909	1016932
17	Eosinophils/100 leukocytes in Blood	3006504	8093354	1.05689%	90031	0.01175695%	8183385	1.06865027%	779805	16897	783349
18	Basophils/100 leukocytes in Blood	3022096	8092698	1.05681%	111036	0.01449995%	8203734	1.07130760%	777527	20187	782599
19	Monocytes [#/volume] in Blood	3001604	7488227	0.97787%	341667	0.04461754%	7829894	1.02248866%	916089	44156	923653
20	INR in Platelet poor plasma by Coagulation assay	3022217	7229919	0.94414%	394638	0.05153491%	7624557	0.99567415%	967242	55183	970151
21	Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma	3035995	7103361	0.92761%	87531	0.01143048%	7190892	0.93904279%	1665536	46009	1671359
22	Cholesterol in LDL [Moles/volume] in Serum or Plasma	3001308	6205645	0.81038%	70667	0.00922825%	6276312	0.81960980%	2467252	56762	2476972
23	Fasting glucose [Moles/volume] in Serum or Plasma	3018251	5895240	0.76985%	55153	0.00720231%	5950393	0.77704875%	2413585	46148	2423467
24	Cholesterol [Moles/volume] in Serum or Plasma	3019900	5806515	0.75826%	48046	0.00627422%	5854561	0.76453426%	2431863	41626	2439239
25	Neutrophils [#/volume] in Blood by Automated count	3013650	5752671	0.75123%	156194	0.02039703%	5908865	0.77162570%	1151140	71522	1163818
26	Thyrotropin [Units/volume] in Serum or Plasma	3009201	5641949	0.73677%	67602	0.00882800%	5709551	0.74559772%	2193121	55085	2205062
27	Cholesterol in HDL [Moles/volume] in Serum or Plasma	3023602	5560725	0.72616%	43416	0.00566960%	5604141	0.73183246%	2384439	38605	2391317
28	Hemoglobin A1c/Hemoglobin.total in Blood	3004410	5513274	0.71997%	221885	0.02897547%	5735159	0.74894182%	1883970	93182	1891184
29	Creatinine [Moles/volume] in Urine	3009508	4626588	0.60418%	89736	0.01171843%	4716324	0.61589439%	465218	15599	469606
30	Lymphocytes [#/volume] in Blood	3019198	4415411	0.57660%	187692	0.02451029%	4603103	0.60110911%	1049294	54007	1061816
31	Triglyceride [Moles/volume] in Serum or Plasma --fasting	3048773	4291489	0.56042%	45416	0.00593078%	4336905	0.56634690%	1778003	39208	1786398
32	Erythrocyte sedimentation rate by Westergren method	3013707	4249395	0.55492%	61266	0.00800059%	4310661	0.56291975%	1669741	43709	1681028
33	Thyroxine (T4) free [Moles/volume] in Serum or Plasma	3008486	4056303	0.52970%	52471	0.00685207%	4108774	0.53655577%	1702584	39496	1711937
34	Glucose [Moles/volume] in Serum or Plasma	3013826	4044189	0.52812%	258488	0.03375538%	4302677	0.56187714%	1291352	137257	1351265
35	Bilirubin.total [Moles/volume] in Serum or Plasma	3006140	3941885	0.51476%	125691	0.01641371%	4067576	0.53117582%	1025926	60884	1040065
36	Calcium.ionized [Moles/volume] in Serum or Plasma	3021347	3696158	0.48267%	1070882	0.13984413%	4767040	0.62251728%	829118	378187	918068
37	Normoblasts [#/volume] in Blood	3021589	3663139	0.47836%	310486	0.04054568%	3973625	0.51890696%	802732	128876	844760
38	Eosinophils [#/volume] in Blood	3013115	3474588	0.45374%	70422	0.00919625%	3545010	0.46293507%	950193	37972	959259
39	Erythrocytes [#/volume] in Urine	3002582	3146314	0.41087%	112598	0.01470393%	3258912	0.42557416%	659568	36381	675692
40	Monocytes/100 leukocytes in Blood	3019069	2871644	0.37500%	30561	0.00399089%	2902205	0.37899258%	755482	16719	759132
41	Neutrophils/100 leukocytes in Blood	3018010	2738151	0.35757%	31321	0.00409014%	2769472	0.36165927%	737910	16515	741746
42	Albumin [Mass/volume] in Serum or Plasma	3024561	2498277	0.32624%	63802	0.00833176%	2562079	0.33457627%	684826	41416	695191
43	Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma	3026910	2386504	0.31165%	30989	0.00404679%	2417493	0.31569510%	1103468	22400	1110784
44	Lymphocytes/100 leukocytes in Blood	3002030	2182039	0.28495%	15170	0.00198102%	2197209	0.28692870%	583041	8016	584271
45	Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma	3016431	2174033	0.28390%	898446	0.11732609%	3072479	0.40122828%	605401	323659	865633
46	pH of Urine	3015736	2110500	0.27561%	174626	0.02280403%	2285126	0.29840959%	871045	96437	912211
47	Oxygen [Partial pressure] in Arterial blood	3027801	2032272	0.26539%	37706	0.00492394%	2069978	0.27031388%	194952	9660	197914
48	Carbon dioxide [Partial pressure] in Arterial blood	3027946	1979976	0.25856%	92004	0.01201460%	2071980	0.27057532%	192501	13783	197972
49	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma	3013721	1794957	0.23440%	51997	0.00679017%	1846954	0.24118967%	709524	28341	716842
50	Base excess in Arterial blood by calculation	3003396	1781120	0.23259%	312254	0.04077656%	2093374	0.27336911%	172118	71207	203407
51	Troponin T.cardiac [Mass/volume] in Serum or Plasma	3019800	1601689	0.20916%	457083	0.05968947%	2058772	0.26885051%	512543	300718	772845
52	Leukocytes [#/volume] in Urine	3018095	1568259	0.20480%	91070	0.01189263%	1659329	0.21668813%	659854	56019	694379
53	Prostate specific Ag [Mass/volume] in Serum or Plasma	3013603	1541826	0.20134%	132565	0.01731137%	1674391	0.21865504%	569519	52156	580108
54	Ferritin [Mass/volume] in Serum or Plasma	3001122	1519983	0.19849%	8616	0.00112514%	1528599	0.19961639%	773094	7209	774960
55	Amylase [Enzymatic activity/volume] in Serum or Plasma	3016771	1341086	0.17513%	21066	0.00275096%	1362152	0.17788044%	655467	14681	660142
56	Triglyceride [Moles/volume] in Serum or Plasma	3025839	1340831	0.17510%	3805	0.00049689%	1344636	0.17559306%	855690	3398	857725
57	Albumin [Presence] in Urine	3025987	1295843	0.16922%	1567494	0.20469560%	2863337	0.37391689%	552932	630776	987965
58	Albumin [Mass/volume] in Urine	3012516	1245478	0.16264%	531382	0.06939201%	1776860	0.23203624%	272308	150485	353934
59	Specific gravity of Urine by Refractometry	3019150	1237799	0.16164%	161220	0.02105337%	1399019	0.18269482%	469517	90941	502667
60	Prothrombin time (PT) actual/Normal	3033658	1225925	0.16009%	10764	0.00140565%	1236689	0.16149650%	432131	9013	435751
61	Calcium [Moles/volume] in Serum or Plasma	3015377	1173057	0.15319%	26627	0.00347716%	1199684	0.15666410%	479852	16810	485548
62	pH of Serum or Plasma	3018418	1173038	0.15318%	42190	0.00550950%	1215228	0.15869396%	406663	26533	416171
63	Bicarbonate [Moles/volume] standard in Arterial blood	3014218	1096155	0.14314%	2292	0.00029931%	1098447	0.14344378%	48218	661	48436
64	25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Moles/volume] in Serum or Plasma	40771025	1095517	0.14306%	8570	0.00111914%	1104087	0.14418030%	642485	7384	644285
65	Casts [#/volume] in Urine by Automated count	3030467	1010117	0.13191%	11277	0.00147264%	1021394	0.13338160%	447005	10395	449036
66	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma	3007220	1002814	0.13096%	13938	0.00182013%	1016752	0.13277541%	556250	11563	560912
67	Transferrin receptor.soluble [Mass/volume] in Serum or Plasma	3015399	981490	0.12817%	35916	0.00469019%	1017406	0.13286081%	369043	16713	377148
68	Chloride [Moles/volume] in Serum or Plasma	3014576	978995	0.12784%	2865	0.00037413%	981860	0.12821894%	185825	2385	186415
69	pH of Arterial blood	3019977	962279	0.12566%	71408	0.00932501%	1033687	0.13498691%	187567	22209	196923
70	pH of Arterial blood adjusted to patient's actual temperature	3029473	962279	0.12566%	71408	0.00932501%	1033687	0.13498691%	187567	22209	196923
71	Calcium [Moles/volume] corrected for albumin in Serum or Plasma	3020059	957876	0.12509%	107799	0.01407723%	1065675	0.13916416%	150527	20730	160426
72	Oxygen saturation in Arterial blood	3016502	955154	0.12473%	32852	0.00429007%	988006	0.12902153%	177277	11909	182195
73	Leukocytes [Presence] in Urine	3045414	918109	0.11989%	1780889	0.23256238%	2698998	0.35245622%	408121	808188	1032079
74	Phosphate [Moles/volume] in Serum or Plasma	3003458	909004	0.11870%	28360	0.00370347%	937364	0.12240831%	230094	15311	233969
75	Base excess.100% oxygenated [Moles/volume] standard in Arterial blood by calculation	43055555	890560	0.11630%	156127	0.02038828%	1046687	0.13668456%	172118	71207	203407
76	Nitrite [Presence] in Urine	3042812	889452	0.11615%	1966202	0.25676200%	2855654	0.37291358%	430548	815059	1130077
77	Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma	3029187	884252	0.11547%	30263	0.00395198%	914515	0.11942451%	379058	25011	395601
78	Ketones [Presence] in Urine	3028893	861080	0.11245%	2056554	0.26856087%	2917634	0.38100742%	434541	809388	1129335
79	Osmolality of Urine	3026782	853028	0.11140%	42107	0.00549866%	895135	0.11689371%	391452	33301	403234
80	Epithelial cells [#/volume] in Urine	3000850	819810	0.10706%	39063	0.00510115%	858873	0.11215834%	387626	30504	399245
81	Glucose [Presence] in Urine	3020650	812903	0.10616%	2113187	0.27595645%	2926090	0.38211167%	383972	836836	1137042
82	Folate [Moles/volume] in Red Blood Cells	3019309	809416	0.10570%	154108	0.02012463%	963524	0.12582448%	292724	59092	299114
83	CBC panel - Blood by Automated count	40761511	797970	0.10421%	19792016	2.58459590%	20589986	2.68880105%	349867	3156825	3321087
84	Troponin I.cardiac [Mass/volume] in Serum or Plasma	3021337	754773	0.09856%	260428	0.03400872%	1015201	0.13257287%	260147	154503	369979
85	Urate [Moles/volume] in Serum or Plasma	3026493	735087	0.09599%	7643	0.00099808%	742730	0.09699148%	433729	4430	435099
86	Urea [Moles/volume] in Serum or Plasma	3020779	713005	0.09311%	16047	0.00209554%	729052	0.09520530%	142389	8466	144588
87	Sodium [Moles/volume] in Blood	3000285	679930	0.08879%	108586	0.01418001%	788516	0.10297057%	70944	12572	76638
88	Erythrocytes [Presence] in Urine	3045424	679372	0.08872%	1086658	0.14190428%	1766030	0.23062198%	310657	519685	711807
89	Bacteria identified in Urine by Culture	3026008	667892	0.08722%	5551589	0.72496981%	6219481	0.81218836%	285931	1553782	1685621
90	Potassium [Moles/volume] in Blood	3005456	662428	0.08651%	126250	0.01648671%	788678	0.10299173%	70768	13444	76912
91	Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma	3001784	648597	0.08470%	1091984	0.14259979%	1740581	0.22729865%	251596	278843	458211
92	Oxygen [Partial pressure] adjusted to patient's actual temperature in Arterial blood	3022803	636869	0.08317%	32637	0.00426199%	669506	0.08742932%	151357	11769	156222
93	Magnesium [Moles/volume] in Serum or Plasma	3012095	632964	0.08266%	19319	0.00252283%	652283	0.08518020%	233838	10546	237685
94	Epithelial cells.squamous [#/volume] in Urine by Automated count	3029879	589433	0.07697%	29217	0.00381538%	618650	0.08078814%	276333	23398	285476
95	Hemoglobin [Mass/volume] in Arterial blood	3002173	582368	0.07605%	61074	0.00797552%	643442	0.08402568%	96593	11439	104323
96	Methemoglobin/Hemoglobin.total in Arterial blood	3006217	580955	0.07587%	2066	0.00026979%	583021	0.07613543%	85911	1715	86850
97	Fractional oxyhemoglobin in Arterial blood	3014007	581010	0.07587%	1418	0.00018517%	582428	0.07605799%	82813	1222	83134
98	Albumin/Creatinine [Ratio] in Urine	3020682	571014	0.07457%	335326	0.04378949%	906340	0.11835695%	251385	160158	367854
99	Carboxyhemoglobin/Hemoglobin.total in Arterial blood	3028653	568753	0.07427%	1891	0.00024694%	570644	0.07451915%	84755	1627	85591
100	Oxygen capacity [Volume Fraction] in Arterial blood	40762366	542554	0.07085%	28364	0.00370399%	570918	0.07455493%	75022	9154	79211
101	Bicarbonate [Moles/volume] standard in Capillary blood	3004490	533506	0.06967%	14290	0.00186610%	547796	0.07153548%	82741	5915	84524
102	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction	3022250	529175	0.06910%	7622	0.00099534%	536797	0.07009914%	156064	5388	157475
103	Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma	3009035	524067	0.06844%	6299	0.00082257%	530366	0.06925933%	370007	5862	372264
104	Holo-transcobalamin II [Moles/volume] in Serum	43054903	509639	0.06655%	261348	0.03412886%	770987	0.10068150%	378027	199053	528585
105	Carbon dioxide [Partial pressure] in Capillary blood	3023024	502166	0.06558%	25766	0.00336473%	527932	0.06894148%	167155	15203	172511
106	pH of Capillary blood	3009343	496849	0.06488%	34164	0.00446140%	531013	0.06934382%	165321	18002	172089
107	Carbon dioxide [Partial pressure] in Venous blood	3021447	475688	0.06212%	17730	0.00231532%	493418	0.06443437%	178786	11187	184158
108	Reticulocytes/100 erythrocytes in Blood	3027945	471728	0.06160%	9346	0.00122047%	481074	0.06282240%	180473	6651	182882
109	Lactate [Moles/volume] in Serum or Plasma	3014111	463022	0.06047%	2629	0.00034332%	465651	0.06080834%	98582	2142	99660
110	aPTT in Platelet poor plasma by Coagulation assay	3018677	461142	0.06022%	10294	0.00134427%	471436	0.06156379%	265596	8975	269991
111	Chloride [Moles/volume] in Blood	3018572	452542	0.05910%	72244	0.00943419%	524786	0.06853065%	39823	7897	43560
112	Reticulocytes [#/volume] in Blood	3023520	444668	0.05807%	86002	0.01123081%	530670	0.06929903%	107875	19175	109235
113	Bicarbonate [Moles/volume] in Serum or Plasma	3016293	438915	0.05732%	6643	0.00086749%	445558	0.05818444%	114580	5224	115333
114	Bilirubin.conjugated [Moles/volume] in Serum or Plasma	3005772	438823	0.05730%	38254	0.00499551%	477077	0.06230044%	176981	23737	189311
115	Transferrin.carbohydrate deficient.disialo/Transferrin.total in Serum or Plasma	3003031	438438	0.05725%	11872	0.00155034%	450310	0.05880499%	284435	10353	290441
116	SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection	706163	433585	0.05662%	4931530	0.64399767%	5365115	0.70061858%	271133	2061226	2435150
117	Bicarbonate [Moles/volume] standard in Venous blood	3007628	421350	0.05502%	1744	0.00022775%	423094	0.05525092%	74514	711	74612
118	Iron [Moles/volume] in Serum or Plasma	3022948	404835	0.05287%	4497	0.00058725%	409332	0.05345377%	213384	3733	214531
119	Epithelial cells.non-squamous [#/volume] in Urine by Automated count	3030306	394711	0.05154%	24392	0.00318530%	419103	0.05472974%	203540	19748	212324
120	pH of Venous blood	3012544	389710	0.05089%	45451	0.00593535%	435161	0.05682672%	153248	24012	167235
121	Base excess in Venous blood by calculation	3002032	385557	0.05035%	106243	0.01387404%	491800	0.06422308%	150593	60180	183219
122	Base excess.100% oxygenated [Moles/volume] standard in Venous blood by calculation	43055557	385557	0.05035%	106243	0.01387404%	491800	0.06422308%	150593	60180	183219
123	Calprotectin [Mass/mass] in Stool	3048689	384953	0.05027%	40016	0.00522560%	424969	0.05549577%	198116	33460	219843
124	Base excess.100% oxygenated [Moles/volume] standard in Capillary blood by calculation	43055554	378548	0.04943%	148289	0.01936473%	526837	0.06879849%	131603	80074	172172
125	IgA [Mass/volume] in Serum or Plasma	3007164	377828	0.04934%	94474	0.01233715%	472302	0.06167688%	306360	84997	377915
126	Bacteria [Presence] in Urine	36304419	377572	0.04931%	881696	0.11513874%	1259268	0.16444504%	184377	408835	539383
127	Natriuretic peptide B [Mass/volume] in Serum or Plasma	3011960	374604	0.04892%	16268	0.00212440%	390872	0.05104312%	143844	13388	151622
128	Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma	3051714	367703	0.04802%	76660	0.01001086%	444363	0.05802839%	246809	66023	300923
129	Oxygen [Partial pressure] in Venous blood	3024354	357641	0.04670%	9885	0.00129086%	367526	0.04799441%	147580	6744	150077
130	Hemoglobin [Presence] in Urine by Test strip	3011397	353803	0.04620%	478046	0.06242698%	831849	0.10862933%	189051	205582	345328
131	Transferrin [Mass/volume] in Serum or Plasma	3004789	353212	0.04613%	7474	0.00097601%	360686	0.04710119%	185680	6202	188371
132	Parathyrin.intact goal [Mass/volume] Serum or Plasma	36303407	333249	0.04352%	3657	0.00047756%	336906	0.04399581%	110747	2690	111513
133	Creatine kinase.MB [Mass/volume] in Serum or Plasma	3005785	332766	0.04346%	5877	0.00076746%	338643	0.04422265%	146066	5162	149520
134	IgG [Mass/volume] in Serum or Plasma	3005719	332308	0.04340%	16903	0.00220733%	349211	0.04560270%	114910	9806	120021
135	Differential panel, method unspecified - Blood	42870588	330307	0.04313%	1896366	0.24764227%	2226673	0.29077634%	128665	531541	609445
136	Carcinoembryonic Ag [Mass/volume] in Serum or Plasma	3003785	328140	0.04285%	52307	0.00683066%	380447	0.04968174%	118550	28200	134583
137	Prostate Specific Ag Free [Mass/volume] in Serum or Plasma	3005013	327438	0.04276%	172868	0.02257445%	500306	0.06533386%	148340	121013	252178
138	Nitrite [Presence] in Urine by Test strip	3021601	318326	0.04157%	597310	0.07800140%	915636	0.11957089%	162322	330286	465541
139	Cholesterol in HDL/Cholesterol.total [Molar ratio] in Serum or Plasma	42868674	304958	0.03982%	354	0.00004623%	305312	0.03987002%	120331	335	120360
140	Lactate [Moles/volume] in Arterial blood	3018405	302839	0.03955%	2821	0.00036839%	305660	0.03991547%	69611	2493	70865
141	pH of Specimen	3019225	302232	0.03947%	27713	0.00361898%	329945	0.04308679%	104022	17428	110385
142	Folate [Moles/volume] in Serum or Plasma	3021960	279410	0.03649%	6640	0.00086710%	286050	0.03735464%	223503	6288	226608
143	Urinalysis macro (dipstick) panel - Urine	3037467	263008	0.03435%	3640352	0.47538557%	3903360	0.50973121%	166385	1390380	1570823
144	Urinalysis microscopic panel [#/volume] - Urine by Automated count	3029287	257054	0.03357%	1625183	0.21222908%	1882237	0.24579720%	128561	704506	784660
145	Amylase.pancreatic [Enzymatic activity/volume] in Serum or Plasma	3016417	253776	0.03314%	3832	0.00050041%	257608	0.03364046%	124875	3006	127046
146	Protein [Mass/volume] in Serum or Plasma	3020630	247579	0.03233%	4182	0.00054612%	251761	0.03287692%	103437	3188	104714
147	Tissue transglutaminase IgA Ab [Units/volume] in Serum	3019050	244898	0.03198%	325639	0.04252448%	570537	0.07450517%	208917	279284	472061
148	Oxygen [Partial pressure] in Capillary blood	3028626	244859	0.03198%	13444	0.00175562%	258303	0.03373122%	83713	5981	87082
149	Carboxyhemoglobin/Hemoglobin.total in Blood	3023081	244784	0.03197%	55291	0.00722033%	300075	0.03918614%	58275	10033	64567
150	Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma	3026989	241891	0.03159%	5924	0.00077360%	247815	0.03236162%	93093	3962	94269
151	Prealbumin [Mass/volume] in Serum or Plasma	3013742	241249	0.03150%	2235	0.00029186%	243484	0.03179604%	123020	1823	123620
152	Cortisol [Moles/volume] in Serum or Plasma	3036481	238200	0.03111%	7162	0.00093527%	245362	0.03204128%	137963	5156	139948
153	Methemoglobin/Hemoglobin.total in Blood	3007930	236001	0.03082%	56822	0.00742026%	292823	0.03823911%	54500	10118	61354
154	Blood group antibody screen [Presence] in Serum or Plasma	3001079	229555	0.02998%	3240201	0.42313073%	3469756	0.45310782%	117637	868063	954640
155	Testosterone [Moles/volume] in Serum or Plasma	3017446	227313	0.02968%	3734	0.00048761%	231047	0.03017192%	130828	3266	132248
156	Oxygen [Partial pressure] adjusted to patient's actual temperature in Venous blood	3004529	225909	0.02950%	4460	0.00058242%	230369	0.03008338%	93009	3733	94275
157	pH of Blood	3010421	221293	0.02890%	8238	0.00107578%	229531	0.02997395%	69708	6434	70605
158	Protein.monoclonal band 1 [Mass/volume] in Serum or Plasma by Electrophoresis	3029713	214398	0.02800%	14892	0.00194471%	229290	0.02994248%	30401	2171	32126
159	Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis	3023465	209682	0.02738%	4056	0.00052966%	213738	0.02791158%	31673	1213	32431
160	Bacteria identified in Blood by Culture	3023368	203727	0.02660%	1537249	0.20074597%	1740976	0.22735023%	68630	497875	543096
161	Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis	3015322	198498	0.02592%	6099	0.00079646%	204597	0.02671787%	29527	1550	30424
162	cycloSPORINE [Mass/volume] in Blood	3010375	195020	0.02547%	9967	0.00130157%	204987	0.02676880%	5276	2768	5879
