	CONCEPT_NAME	OMOP_CONCEPT_ID	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL	PERCENTAGE_TOTAL	COUNT_INDVS_NO_MISSING	COUNT_INDVS_MISSING	COUNT_INDVS_ALL
331	Bile acid [Moles/volume] in Serum --fasting	3034274	24682	0.00322%	1542	0.00020137%	26224	0.00342453%	10866	1305	12524
332	Specimen collection	4070456	24359	0.00318%	6430	0.00083968%	30789	0.00402067%	10364	2280	12643
333	Protein [Mass/volume] in Pleural fluid	3003434	24277	0.00317%	1801	0.00023519%	26078	0.00340547%	18061	1565	19097
334	C reactive protein [Mass/volume] in Blood by High sensitivity method	42870365	23901	0.00312%	7478	0.00097654%	31379	0.00409771%	10841	5872	15323
335	Varicella zoster virus IgG Ab [Titer] in Serum	3003220	22815	0.00298%	6978	0.00091124%	29793	0.00389060%	20672	3311	23759
336	Calcium [Moles/volume] in Urine	3018133	22736	0.00297%	2034	0.00026562%	24770	0.00323466%	5563	783	5910
337	Sampling of female genital tract for smear	4206982	22770	0.00297%	450157	0.05878501%	472927	0.06175850%	20671	344476	392899
338	Leukocytes [#/volume] in Pleural fluid	3023199	22430	0.00293%	1466	0.00019144%	23896	0.00312053%	16593	1269	17400
339	Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection	3044254	22467	0.00293%	223498	0.02918611%	245965	0.03212003%	19864	168317	185470
340	CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood	3027831	22330	0.00292%	1794	0.00023427%	24124	0.00315030%	5980	685	6358
341	Methadone [Presence] in Urine by Screen method	3028707	22205	0.00290%	141321	0.01845480%	163526	0.02135450%	12489	53819	63239
342	IgA [Presence] in Serum	3045975	22122	0.00289%	87464	0.01142173%	109586	0.01431060%	21400	79172	98693
343	Erythropoietin (EPO) [Units/volume] in Serum or Plasma	3024172	22059	0.00288%	361	0.00004714%	22420	0.00292778%	18479	346	18706
344	Normetanephrine [Moles/volume] in Serum or Plasma	3026179	21489	0.00281%	363	0.00004740%	21852	0.00285360%	17905	351	18115
345	Respiratory syncytial virus RNA [Identifier] in Specimen by NAA with probe detection	3043924	21426	0.00280%	159570	0.02083790%	180996	0.02363587%	18858	120544	181939
346	carBAMazepine [Moles/volume] in Serum or Plasma	3018980	21282	0.00278%	259	0.00003382%	21541	0.00281299%	8741	199	8813
347	CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Blood	3025271	21205	0.00277%	1199	0.00015657%	22404	0.00292569%	9067	895	9529
348	Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ and CD8+ T-cells [Units/volume] in Blood	36304997	21113	0.00276%	43228	0.00564505%	64341	0.00840215%	19323	27282	45196
349	Egg white IgE Ab [Units/volume] in Serum	3014599	21057	0.00275%	23503	0.00306921%	44560	0.00581899%	16830	22870	39205
350	10-Hydroxycarbazepine [Moles/volume] in Serum or Plasma	3048469	21038	0.00275%	1784	0.00023297%	22822	0.00298027%	9276	936	9468
351	Protein C actual/normal in Platelet poor plasma by Coagulation assay	3020287	20897	0.00273%	551	0.00007195%	21448	0.00280085%	19561	539	19933
352	Chromogranin A [Moles/volume] in Serum or Plasma	3014702	20672	0.00270%	812	0.00010604%	21484	0.00280555%	8403	684	8592
353	Milk IgE Ab [Units/volume] in Serum	3020874	20495	0.00268%	21443	0.00280019%	41938	0.00547659%	17096	20838	37445
354	Oxygen content in Mixed venous blood	3016846	20435	0.00267%	7207	0.00094115%	27642	0.00360971%	2570	931	3420
355	Hepatitis B virus core and surface Ab and surface Ag panel - Serum	46237023	20457	0.00267%	34602	0.00451860%	55059	0.00719003%	18320	28670	44554
356	Thyroglobulin [Moles/volume] in Serum or Plasma	3007446	20280	0.00265%	19369	0.00252936%	39649	0.00517768%	5709	5397	8482
357	Gliadin peptide IgG Ab [Units/volume] in Serum by Immunoassay	40766189	20301	0.00265%	72286	0.00943967%	92587	0.01209073%	19197	68245	87501
358	Haemophilus influenzae B DNA [Presence] in Specimen by NAA with probe detection	3024794	20209	0.00264%	181788	0.02373930%	201997	0.02637834%	17735	132346	147994
359	Influenza virus B RNA [Presence] in Specimen by NAA with probe detection	3038288	20209	0.00264%	181788	0.02373930%	201997	0.02637834%	17735	132346	147994
360	Carbon dioxide [Partial pressure] in Mixed venous blood	3021513	20023	0.00261%	7215	0.00094219%	27238	0.00355695%	2526	928	3376
361	Osmolality of Serum or Plasma	3008295	19870	0.00259%	660	0.00008619%	20530	0.00268097%	15496	487	15725
362	Horse dander IgE Ab [Units/volume] in Serum	3010726	19682	0.00257%	27819	0.00363282%	47501	0.00620305%	18624	27018	45360
363	Erythrocytes [#/volume] in Synovial fluid	3010144	19191	0.00251%	5273	0.00068859%	24464	0.00319470%	13722	4446	17446
364	Salmonella sp identified in Stool by Organism specific culture	3004716	18914	0.00247%	141431	0.01846916%	160345	0.02093910%	13639	113135	128094
365	Peanut IgE Ab [Units/volume] in Serum	3012494	18827	0.00246%	10164	0.00132729%	28991	0.00378587%	15879	9724	25259
366	Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma	3026285	18833	0.00246%	492	0.00006425%	19325	0.00252361%	17714	480	18111
367	Beta-2-Microglobulin [Mass/volume] in Serum or Plasma	3013201	18657	0.00244%	796	0.00010395%	19453	0.00254032%	10047	391	10193
368	Tissue transglutaminase IgG Ab [Units/volume] in Serum	3046870	18690	0.00244%	45091	0.00588833%	63781	0.00832902%	17900	41678	59364
369	Albumin [Mass/time] in Urine collected for unspecified duration	3050449	18680	0.00244%	14360	0.00187524%	33040	0.00431462%	11276	8082	14796
370	CD19 cells [#/volume] in Blood	3010503	18341	0.00240%	390	0.00005093%	18731	0.00244604%	6853	350	6964
371	Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection	3051552	18387	0.00240%	153304	0.02001963%	171691	0.02242075%	13595	102002	112003
372	CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood	3001405	18337	0.00239%	389	0.00005080%	18726	0.00244539%	6853	348	6959
373	Folate [Moles/volume] in Blood	3006270	18271	0.00239%	473	0.00006177%	18744	0.00244774%	16007	457	16307
374	Hepatitis B virus core IgM Ab [Presence] in Serum	3013527	18336	0.00239%	11937	0.00155883%	30273	0.00395328%	16576	10654	26972
375	CD3+CD4+ (T4 helper) cells [#/volume] in Blood	3028167	18340	0.00239%	387	0.00005054%	18727	0.00244552%	6853	347	6959
376	Helicobacter pylori Ag [Presence] in Stool	3013139	18084	0.00236%	101817	0.01329606%	119901	0.01565761%	15739	88905	103471
377	Renin [Units/volume] in Plasma	3011985	17663	0.00231%	622	0.00008123%	18285	0.00238780%	12682	558	12932
378	Amylase [Enzymatic activity/volume] in Urine	3017315	17456	0.00228%	375	0.00004897%	17831	0.00232851%	13877	350	14152
379	Somatotropin [Units/volume] in Serum or Plasma	3046904	17446	0.00228%	2144	0.00027998%	19590	0.00255822%	6522	1452	7513
380	Stomach Pathology biopsy report	40768797	17445	0.00228%	218699	0.02855942%	236144	0.03083753%	16466	191133	211470
381	Methotrexate [Moles/volume] in Serum or Plasma	3017115	17421	0.00227%	2955	0.00038589%	20376	0.00266086%	1580	817	1779
382	Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay	3005757	17311	0.00226%	428	0.00005589%	17739	0.00231650%	9298	406	9601
383	Proteinase 3 Ab [Units/volume] in Serum	3009445	17208	0.00225%	59999	0.00783514%	77207	0.01008229%	7413	48808	56841
384	Erythrocytes [#/volume] in Pleural fluid	3028308	17256	0.00225%	2970	0.00038785%	20226	0.00264127%	12857	2430	14930
385	Band form neutrophils/100 leukocytes in Blood	3004809	17096	0.00223%	1751	0.00022866%	18847	0.00246119%	15531	1457	16345
386	5-Hydroxyindoleacetate [Moles/volume] in Serum or Plasma	3030136	16724	0.00218%	291	0.00003800%	17015	0.00222195%	6930	244	7046
387	Aldosterone [Moles/volume] in Serum or Plasma	3001788	16600	0.00217%	1592	0.00020790%	18192	0.00237565%	13704	1370	14710
388	Bilirubin.conjugated [Mass/volume] in Serum or Plasma	3019676	16589	0.00217%	1270	0.00016585%	17859	0.00233217%	13777	1228	14918
389	Endomysium IgA Ab [Titer] in Serum	3020961	16641	0.00217%	129459	0.01690577%	146100	0.01907888%	13709	116346	130517
390	Lactate [Moles/volume] in Cerebral spinal fluid	3035999	16579	0.00217%	902	0.00011779%	17481	0.00228281%	13835	854	14334
391	Glucose tolerance test	4012477	16644	0.00217%	177048	0.02312031%	193692	0.02529381%	10955	121244	146817
392	Methicillin resistant Staphylococcus aureus [Presence] in Specimen by Organism specific culture	3019902	16447	0.00215%	470200	0.06140239%	486647	0.06355016%	7334	169638	178094
393	Sodium [Moles/time] in 24 hour Urine	3002079	16132	0.00211%	4310	0.00056283%	20442	0.00266948%	6865	1775	7165
394	Metanephrine [Moles/volume] in Serum or Plasma	3009340	16124	0.00211%	3894	0.00050851%	20018	0.00261411%	13688	3289	16581
395	Free Hemoglobin [Mass/volume] in Plasma	3022493	16086	0.00210%	1233	0.00016101%	17319	0.00226165%	6704	1077	7622
396	Food Allergen Mix 5 (Peanut+Cow milk+Egg white+Cod+Soybean+Wheat) IgE Ab [Presence] in Serum by Multidisk	3009176	15966	0.00208%	8996	0.00117477%	24962	0.00325973%	15335	8868	24006
397	Glucose [Moles/volume] in Pleural fluid	3036782	15929	0.00208%	1654	0.00021599%	17583	0.00229613%	12551	1469	13590
398	Eosinophil cationic protein (ECP) [Mass/volume] in Serum	3005791	15844	0.00207%	400	0.00005224%	16244	0.00212127%	11318	365	11515
399	Gas panel - Capillary blood	3022313	15676	0.00205%	305828	0.03993741%	321504	0.04198450%	5251	98736	103304
400	Bilirubin.total [Moles/volume] in Blood	40757494	15534	0.00203%	8289	0.00108244%	23823	0.00311099%	3453	2414	5128
401	Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid by Lactate to pyruvate reaction	40763082	15568	0.00203%	1322	0.00017264%	16890	0.00220563%	12281	1195	13073
402	MCM6 gene c.-13910C>T and -13915T>G [Identifier] in Blood or Tissue by Molecular genetics method Nominal	43534045	15518	0.00203%	124663	0.01627947%	140181	0.01830593%	15088	121132	135903
403	Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma	3016616	15356	0.00201%	883	0.00011531%	16239	0.00212062%	12765	762	13350
404	Adenosine deaminase [Enzymatic activity/volume] in Serum or Plasma	3052649	14716	0.00192%	1262	0.00016480%	15978	0.00208653%	11237	1077	11683
405	Cell count panel - Synovial fluid	3044941	14427	0.00188%	23477	0.00306581%	37904	0.00494980%	10501	17622	27275
406	Chlamydophila pneumoniae IgA Ab [Presence] in Serum	3044802	14291	0.00187%	8149	0.00106416%	22440	0.00293039%	12814	7812	20439
407	Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay	3009041	14206	0.00186%	10414	0.00135994%	24620	0.00321507%	11913	9510	20738
408	Cardiolipin IgG Ab [Units/volume] in Serum or Plasma	3035544	14206	0.00186%	10414	0.00135994%	24620	0.00321507%	11913	9510	20738
409	Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay	3020629	14018	0.00183%	158	0.00002063%	14176	0.00185121%	12925	150	12974
410	Urea [Moles/volume] in Serum or Plasma --post dialysis	3042602	13946	0.00182%	473	0.00006177%	14419	0.00188295%	1404	301	1422
411	Chlamydophila pneumoniae IgM Ab [Presence] in Serum by Immunoassay	1175715	13823	0.00181%	29702	0.00387872%	43525	0.00568383%	12582	27618	40030
412	inFLIXimab [Mass/volume] in Serum or Plasma	3042299	13878	0.00181%	3397	0.00044361%	17275	0.00225590%	5176	1770	6079
413	Homocysteine [Moles/volume] in Serum or Plasma	3016724	13728	0.00179%	130	0.00001698%	13858	0.00180969%	11304	126	11366
414	Bilirubin fractions panel [Moles/volume] - Serum or Plasma	46235479	13443	0.00176%	192	0.00002507%	13635	0.00178056%	3770	179	3804
415	Albumin [Mass/volume] in Cerebral spinal fluid	3024474	13425	0.00175%	1279	0.00016702%	14704	0.00192016%	12570	1205	13551
416	Cobalt [Mass/volume] in Blood	3026470	13357	0.00174%	1309	0.00017094%	14666	0.00191520%	8984	1146	9351
417	Extractable nuclear Ab [Presence] in Serum	3013293	12861	0.00168%	56615	0.00739323%	69476	0.00907272%	11081	49856	60499
418	Chromium [Mass/volume] in Blood	3025577	12687	0.00166%	2733	0.00035690%	15420	0.00201366%	8414	2121	9498
419	Epstein Barr virus Ab [Presence] in Serum	3048929	12739	0.00166%	104605	0.01366014%	117344	0.01532370%	11778	89207	102910
420	Chromogranin A [Mass/volume] in Serum or Plasma	3006407	12597	0.00165%	573	0.00007483%	13170	0.00171984%	5667	474	5798
421	Streptolysin O Ab [Units/volume] in Serum or Plasma	3021236	12594	0.00164%	9547	0.00124672%	22141	0.00289134%	11606	9009	20402
422	Short blood count panel - Blood	40758558	12561	0.00164%	1032257	0.13480017%	1044818	0.13644049%	7665	407231	412891
423	Progesterone [Moles/volume] in Serum or Plasma	3005082	12374	0.00162%	805	0.00010512%	13179	0.00172102%	9720	724	10257
424	Cerebrospinal fluid IgG ratio and IgG index	4027681	12329	0.00161%	4148	0.00054168%	16477	0.00215170%	11624	3003	13494
425	Glutamate decarboxylase 65 Ab [Units/volume] in Serum	3020148	12266	0.00160%	13917	0.00181739%	26183	0.00341918%	11444	13055	24315
426	Methylenedioxymethamphetamine [Presence] in Urine by Screen method	3002148	12149	0.00159%	9182	0.00119906%	21331	0.00278557%	7113	3909	10621
427	Thyroglobulin Ab [Units/volume] in Serum or Plasma	3025547	12087	0.00158%	33733	0.00440512%	45820	0.00598353%	6333	10524	14757
428	Protein/Creatinine [Ratio] in Urine	3045462	12056	0.00157%	4597	0.00060031%	16653	0.00217468%	3628	1545	3906
429	von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay	40770918	11927	0.00156%	669	0.00008736%	12596	0.00164488%	7516	519	7720
430	Interleukin 2 Receptor Soluble [Units/volume] in Serum or Plasma	3007847	11738	0.00153%	165	0.00002155%	11903	0.00155439%	6201	153	6249
431	Choriogonadotropin [Units/volume] in Urine	3023511	11640	0.00152%	67454	0.00880867%	79094	0.01032871%	10287	52384	62767
432	Adenosine deaminase [Enzymatic activity/volume] in Pleural fluid	3036428	11579	0.00151%	1860	0.00024289%	13439	0.00175497%	9441	1602	10442
433	Immunohistochemistry procedure	4035726	11472	0.00150%	110260	0.01439861%	121732	0.01589671%	10178	86193	98556
434	Ceruloplasmin [Mass/volume] in Serum or Plasma	3022756	11406	0.00149%	224	0.00002925%	11630	0.00151874%	10904	219	11072
435	Acetaminophen [Moles/volume] in Serum or Plasma	3020485	11303	0.00148%	9512	0.00124215%	20815	0.00271819%	6270	7265	11567
436	Cytology report of Urine Cyto stain	3049717	11169	0.00146%	112279	0.01466227%	123448	0.01612080%	6300	46726	50714
437	HLA-B27 [Presence]	3008898	11028	0.00144%	60506	0.00790135%	71534	0.00934147%	10678	58453	68735
438	Thiamine [Moles/volume] in Blood	3006653	10919	0.00143%	602	0.00007861%	11521	0.00150450%	8914	534	9245
439	Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum	3006999	10861	0.00142%	26015	0.00339724%	36876	0.00481556%	8326	22908	30658
440	Inhibin B [Mass/volume] in Serum or Plasma	3045781	10744	0.00140%	4560	0.00059548%	15304	0.00199852%	3344	1402	4500
441	Tryptase [Mass/volume] in Serum or Plasma	3019420	10557	0.00138%	899	0.00011740%	11456	0.00149601%	7188	860	7898
442	aPTT.lupus sensitive actual/normal (normalized LA screen)	3048518	10579	0.00138%	906	0.00011831%	11485	0.00149980%	9533	883	10304
443	Aldolase [Enzymatic activity/volume] in Serum or Plasma	3027953	10507	0.00137%	1699	0.00022187%	12206	0.00159395%	7592	1539	8818
444	Trisomy 21 risk [Likelihood] in Fetus	3043238	10518	0.00137%	31163	0.00406951%	41681	0.00544303%	9805	24157	33463
445	CD4 cells/100 lymphocytes in Specimen	21494815	10254	0.00134%	557	0.00007274%	10811	0.00141178%	3189	346	3424
446	Smooth muscle Ab [Titer] in Serum	3007566	10221	0.00133%	35883	0.00468588%	46104	0.00602062%	9076	31864	39715
447	Retinol [Moles/volume] in Serum or Plasma	3013005	10200	0.00133%	301	0.00003931%	10501	0.00137130%	5708	272	5834
448	Human papilloma virus DNA [Presence] in Specimen by NAA with probe detection	3029511	10166	0.00133%	181520	0.02370430%	191686	0.02503185%	3237	71918	75570
449	OLANZapine [Moles/volume] in Serum or Plasma	3040370	10138	0.00132%	165	0.00002155%	10303	0.00134545%	5038	135	5079
450	Fetal Trisomy 21 risk [Likelihood] Based on maternal age	3049207	10108	0.00132%	32619	0.00425964%	42727	0.00557963%	9524	26476	35528
451	Myeloperoxidase IgG Ab [Units/volume] in Serum	3049804	10102	0.00132%	30544	0.00398867%	40646	0.00530787%	6315	25365	30823
452	Volume of 24 hour Urine	3012565	10028	0.00131%	488	0.00006373%	10516	0.00137326%	6097	482	6250
453	Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum	3023939	10021	0.00131%	22120	0.00288860%	32141	0.00419722%	7914	19617	27047
454	Base excess in Arterial cord blood by calculation	3004959	9940	0.00130%	40333	0.00526700%	50273	0.00656504%	9930	40285	50202
455	Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay	3044355	9952	0.00130%	13469	0.00175889%	23421	0.00305850%	8341	12095	19715
456	Norovirus RNA [Presence] in Stool by NAA with probe detection	3008909	9906	0.00129%	112110	0.01464020%	122016	0.01593380%	4529	45603	49177
457	Mycoplasma pneumoniae Ab [Titer] in Serum	3026395	9869	0.00129%	78301	0.01022516%	88170	0.01151393%	8426	68651	77231
458	Mycoplasma pneumoniae Ab [Presence] in Serum by Immunoassay	3027545	9869	0.00129%	78301	0.01022516%	88170	0.01151393%	8426	68643	77223
459	Bacteria identified in Stool by Culture	3025941	9794	0.00128%	126050	0.01646059%	135844	0.01773957%	8966	112179	120661
460	Peanut recombinant (rAra h) 2 IgE Ab [Units/volume] in Serum	40761872	9823	0.00128%	5669	0.00074030%	15492	0.00202307%	8086	5169	13007
461	CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood	40757349	9743	0.00127%	551	0.00007195%	10294	0.00134427%	3071	476	3237
462	Phenytoin [Moles/volume] in Serum or Plasma	3019779	9498	0.00124%	372	0.00004858%	9870	0.00128890%	3663	142	3711
463	pH of Pleural fluid	3035880	9473	0.00124%	1351	0.00017642%	10824	0.00141348%	7715	1210	8627
464	Epstein Barr virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection	3043849	9533	0.00124%	36945	0.00482457%	46478	0.00606946%	4436	16181	19104
465	Bacteria identified based on 16S rRNA gene [Identifier] in Specimen by Sequencing	40769539	9288	0.00121%	23356	0.00305001%	32644	0.00426291%	5849	17333	24092
466	HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by Probe with amplification	3013180	9102	0.00119%	25939	0.00338732%	35041	0.00457593%	2975	6393	7246
467	Phosphate [Moles/volume] in Urine	3022229	9112	0.00119%	1122	0.00014652%	10234	0.00133644%	2076	407	2245
468	Zinc [Moles/volume] in Serum or Plasma	3020717	8843	0.00115%	289	0.00003774%	9132	0.00119253%	7543	284	7696
469	Cortisol [Moles/volume] in Saliva (oral fluid)	3039429	8778	0.00115%	1139	0.00014874%	9917	0.00129504%	5786	1013	6420
470	Bordetella pertussis IgG Ab [Presence] in Serum	3007732	8594	0.00112%	7906	0.00103243%	16500	0.00215470%	8067	7642	15652
471	Bordetella pertussis IgG Ab [Units/volume] in Serum	3026048	8594	0.00112%	7906	0.00103243%	16500	0.00215470%	8067	7642	15652
472	Oxygen content in Arterial blood by calculation	40762365	8559	0.00112%	687	0.00008971%	9246	0.00120741%	3092	605	3335
473	Smith extractable nuclear Ab [Units/volume] in Serum	3016921	8420	0.00110%	28408	0.00370974%	36828	0.00480929%	6813	24673	30692
474	Protein S actual/normal in Platelet poor plasma by Coagulation assay	3036669	8394	0.00110%	365	0.00004766%	8759	0.00114382%	8052	362	8317
475	Procollagen type I.N-terminal propeptide [Mass/volume] in Serum	3049714	8448	0.00110%	295	0.00003852%	8743	0.00114173%	4618	259	4740
476	Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma	3003191	8247	0.00108%	37748	0.00492943%	45995	0.00600639%	4297	27194	32311
477	CD3+CD4+ (T4 helper) cells/100 cells in Blood	3014037	8186	0.00107%	8044	0.00105045%	16230	0.00211944%	4479	4250	7856
478	von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay	3036035	8196	0.00107%	326	0.00004257%	8522	0.00111287%	4914	289	5092
479	CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Specimen	3020073	8144	0.00106%	446	0.00005824%	8590	0.00112175%	3784	409	3979
480	CD19 cells/100 cells in Blood	3016228	8067	0.00105%	351	0.00004584%	8418	0.00109929%	3715	317	3822
481	lamoTRIgine [Moles/volume] in Serum or Plasma	3037826	8027	0.00105%	370	0.00004832%	8397	0.00109655%	3942	314	4094
482	Ovomucoid IgE Ab [Units/volume] in Serum	3003633	7935	0.00104%	3158	0.00041240%	11093	0.00144861%	5452	2989	8247
483	Collection duration of Urine	3016750	7913	0.00103%	781	0.00010199%	8694	0.00113533%	4573	775	5085
484	Mycobacterium sp identified in Sputum by Organism specific culture	3027544	7794	0.00102%	25560	0.00333782%	33354	0.00435563%	2482	7710	9758
485	Collagen crosslinked N-telopeptide [Moles/volume] in Urine	3014038	7744	0.00101%	460	0.00006007%	8204	0.00107134%	4125	361	4293
486	Thymidine kinase [Enzymatic activity/volume] in Serum	3045066	7690	0.00100%	679	0.00008867%	8369	0.00109289%	4386	543	4674
487	Streptococcus sp identified in Isolate by Organism specific culture	3042975	7546	0.00099%	23095	0.00301593%	30641	0.00400134%	6909	20355	53595
488	Androstenedione [Moles/volume] in Serum or Plasma	3022411	7389	0.00096%	450	0.00005876%	7839	0.00102368%	5426	395	5716
489	Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum	3027450	7349	0.00096%	32021	0.00418155%	39370	0.00514124%	6084	27396	33060
490	Immunofixation for Serum or Plasma	3037756	7258	0.00095%	36845	0.00481151%	44103	0.00575931%	4944	22618	27870
491	Procollagen type III.N-terminal propeptide [Mass/volume] in Serum	42869547	7165	0.00094%	400	0.00005224%	7565	0.00098790%	4663	346	4859
492	CD3+CD8+ (T8 suppressor) cells/100 cells in Blood	3007449	7123	0.00093%	753	0.00009833%	7876	0.00102851%	6079	642	6439
493	Cortisol [Moles/time] in 24 hour Urine	3020911	7154	0.00093%	272	0.00003552%	7426	0.00096975%	5475	261	5637
494	Spirometry for bronchospasm with prolonged evaluation after bronchodilator	4010399	7143	0.00093%	111646	0.01457961%	118789	0.01551239%	6079	86090	103487
495	Lactate [Moles/volume] in Pleural fluid	3023383	7044	0.00092%	567	0.00007404%	7611	0.00099390%	1964	178	2094
496	Varicella zoster virus IgM Ab [Presence] in Serum by Immunoassay	3012220	6950	0.00091%	19213	0.00250898%	26163	0.00341657%	3351	17388	21089
497	Glucose [Moles/volume] in Blood	3020491	6933	0.00091%	1692	0.00022095%	8625	0.00112632%	4621	1487	5870
498	Normetanephrine [Moles/time] in 24 hour Urine	3000213	6860	0.00090%	525	0.00006856%	7385	0.00096439%	6108	496	6499
499	Body weight	3025315	6911	0.00090%	456	0.00005955%	7367	0.00096204%	1946	392	1992
